;number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;street;concierge;garbage chute
492;1;36.0;18;14;2630000.0;евро;совмещенный;лоджия;2013;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Хабаровская, 54;0;0
493;4;127.0;10;9;11800000.0;косметический;несколько;лоджия;1996;1.0;кирпичный;подземная, за шлагбаумом во дворе, открытая во дворе;р-н Индустриальный;улица Стахановская, 10А;1;1
494;2;43.0;5;4;3900000.0;дизайнерский;совмещенный;балкон;1970;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Академика Вавилова, 4;0;0
495;3;79.4;14;2;7800000.0;косметический;раздельный;балкон;2008;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица Краснофлотская, 28;1;0
496;3;60.0;16;7;3570000.0;евро;совмещенный;лоджия;2014;1.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Цимлянская, 19Б;0;0
497;3;79.8;5;5;5100000.0;косметический;раздельный;балкон;1960;0.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Газеты Звезда, 14;0;0
498;2;41.2;5;5;2750000.0;косметический;совмещенный;балкон;1959;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Степана Разина, 75;0;0
499;1;54.0;10;6;2600000.0;косметический;раздельный;балкон;2006;1.0;монолитный;открытая во дворе;р-н Кировский;улица Кировоградская, 6;0;0
500;;;;;;;;;;;;;;;;
501;3;117.8;18;16;15000000.0;дизайнерский;несколько;нет;2005;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица 25 Октября, 72;1;0
502;2;49.1;10;10;4700000.0;евро;совмещенный;лоджия;1991;1.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Луначарского, 51;0;1
503;2;49.0;12;10;4050000.0;евро;совмещенный;лоджия;1981;2.0;панельный;открытая во дворе;р-н Дзержинский;Парковый проспект, 39;0;1
504;2;43.6;5;5;3500000.0;евро;совмещенный;балкон;1961;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Лодыгина, 3А;0;0
505;;;;;;;;;;;;;;;;
506;3;58.7;25;21;4700000.0;косметический;совмещенный;лоджия;2018;1.0;монолитный;подземная, открытая во дворе;р-н Свердловский;улица Красные Казармы, 67;0;0
507;3;61.5;5;2;3690000.0;косметический;раздельный;балкон;1968;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Космонавта Леонова, 56;0;0
508;4;90.0;10;8;7800000.0;дизайнерский;несколько;балкон;1999;1.0;кирпичный;за шлагбаумом во дворе;р-н Индустриальный;улица Мира, 74;1;1
509;3;68.0;10;6;5850000.0;дизайнерский;совмещенный;балкон;1998;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица Максима Горького, 64;0;1
510;;;;;;;;;;;;;;;;
511;1;20.7;26;10;2370000.0;евро;совмещенный;лоджия;2021;1.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Кировский;улица Буксирная, 10;1;0
512;1;33.7;10;5;3275000.0;косметический;раздельный;балкон;2005;1.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;проспект Декабристов, 23;0;0
513;3;85.5;9;8;4750000.0;евро;совмещенный;лоджия;1986;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Старцева, 5;0;1
514;3;55.5;19;19;6500000.0;евро;совмещенный;балкон;2019;1.0;монолитный;наземная многоуровневая, открытая во дворе;р-н Свердловский;улица Александра Турчевича, 8;0;0
515;2;56.0;10;3;3350000.0;косметический;раздельный;лоджия;1999;1.0;панельный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Свободы, 21А;0;1
516;2;44.9;5;1;2900000.0;косметический;совмещенный;нет;1960;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Коминтерна, 24;0;0
517;3;100.0;25;22;9950000.0;дизайнерский;несколько;лоджия;2011;1.0;монолитный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица Чернышевского, 15В;0;0
518;2;46.9;25;20;5300000.0;евро;совмещенный;лоджия;2020;1.0;монолитный;за шлагбаумом во дворе;р-н Свердловский;улица Революции, 52Б;0;0
519;1;42.7;16;5;3250000.0;косметический;раздельный;лоджия;1993;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Солдатова, 42/2;1;1
520;1;34.7;9;1;2850000.0;евро;раздельный;нет;1983;1.0;панельный;открытая во дворе;р-н Индустриальный;улица Милиционера Власова, 17к5;0;1
521;;;;;;;;;;;;;;;;
522;2;45.1;5;5;2000000.0;требует ремонта;раздельный;балкон;1974;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Академика Веденеева, 53;0;0
523;2;46.0;25;14;4440000.0;косметический;совмещенный;лоджия;2019;1.0;монолитный;за шлагбаумом во дворе;р-н Свердловский;улица Чернышевского, 39;1;0
524;4;140.0;12;5;14500000.0;евро;несколько;лоджия;2007;1.0;кирпичный;подземная, открытая во дворе;р-н Свердловский;улица Сибирская, 46;1;0
525;2;50.0;19;12;3290000.0;косметический;совмещенный;балкон;2016;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Маршала Толбухина, 23;1;1
526;1;38.8;9;5;1690000.0;косметический;совмещенный;нет;1992;1.0;кирпичный;открытая во дворе;р-н Кировский;улица Сысольская, 6;0;1
