physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;extra;type of house;parking
Пермский край, Пермь, ул. Маяковского, 53| р-н Дзержинский;2;60.8 м²;10;1;4500000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_608m_110et._2050114552;косметический;раздельный;на улицу, во двор;лоджия;2015;1;;панельный;открытая во дворе
Пермский край, Пермь, ул. Свободы, 21А| р-н Мотовилихинский;3;70 м²;10;8;3999000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_70m_810et._2129365291;;раздельный;на улицу, во двор;балкон;1999;1;;панельный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Калинина, 42| р-н Кировский;1;38.4 м²;16;16;2950000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_384_m_1616_et._2229575655;;;;балкон;;;;кирпичный;
ул. Космонавта Беляева, д. 45| р-н Индустриальный;4;80.9 м²;22;2;6130000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_809m_222et._1746009751;;несколько;во двор;лоджия;;3;;монолитный;подземная, открытая во дворе
Пермский край, Пермь, ул. Докучаева, 40| р-н Дзержинский;2;63.2 м²;10;9;4700000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_632m_910et._2204101873;косметический;раздельный;на улицу, во двор;лоджия;2012;1;консьерж, мусоропровод, газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Адмирала Макарова, 23| р-н Кировский;3;91.3 м²;16;16;4450000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_913_m_1616_et._2197212480;;;;лоджия;;;;кирпичный;
Пермский край, Пермь, ш. Космонавтов, 215| р-н Индустриальный;3;89.1 м²;25;3;6990000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_891m_325et._2121440527;евро;раздельный;на улицу, во двор;лоджия;2010;2;консьерж;монолитный;наземная многоуровневая, за шлагбаумом во дворе
Пермский край, Пермь, Глазовская ул., 11/1| р-н Кировский;2;37 м²;5;5;1850000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_37m_55et._2193145699;косметический;;во двор;балкон;1980;;газоснабжение;панельный;
Пермский край, Пермский р-н, с. Фролы, Весенняя ул., 18;1;40.6 м²;9;1;3250000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_406m_19et._2209202772;косметический;раздельный;на улицу;лоджия;2020;1;;панельный;открытая во дворе
ул. Монастырская, д. 60| р-н Ленинский;4;96.6 м²;14;4;9853200;https://www.avito.ru/perm/kvartiry/4-k._kvartira_966m_414et._2038108729;;;;балкон;;;;монолитный;
ул. Монастырская, д. 60| р-н Ленинский;4;77.2 м²;14;3;8338680;https://www.avito.ru/perm/kvartiry/4-k._kvartira_772m_314et._2006677807;;;;балкон;;;;монолитный;
Пермь, улица Карла Модераха, 6| р-н Свердловский;3;82 м²;25;10;6008000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_82m_1025et._2204422048;;раздельный;на улицу;лоджия;;1;;монолитный;подземная, открытая во дворе
ул. Василия Татищева, д. 4| р-н Свердловский;2;56.8 м²;25;1;4431000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_568m_125et._2204861227;;совмещенный;;лоджия;;1;;монолитный;наземная многоуровневая
Пермский край, Пермь, Самолётная ул., 62| р-н Индустриальный;1;29.7 м²;9;7;2300000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_297m_79et._2174793880;;совмещенный;во двор;балкон;1981;1;газоснабжение;панельный;открытая во дворе
ул. Монастырская, д. 60| р-н Ленинский;4;97.9 м²;14;11;10378460;https://www.avito.ru/perm/kvartiry/4-k._kvartira_979m_1114et._2006874918;;;во двор;балкон;;;;монолитный;
Пермский край, Пермь, ул. Мильчакова, 31| р-н Дзержинский;2;44 м²;5;5;2700000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_55et._2204123603;требует ремонта;раздельный;на улицу, во двор;лоджия;1969;;;панельный;
Пермский край, Пермь, Красноводская ул., 15| р-н Дзержинский;2;47.7 м²;18;7;3435000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_477m_718et._2189309408;;совмещенный;во двор;балкон;2014;0;;монолитный;открытая во дворе
ул. Карла Модераха, д. 8| р-н Свердловский;2;62.7 м²;25;9;4828000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_627m_925et._2136990905;;раздельный;на улицу;лоджия;;1;;монолитный;подземная, открытая во дворе
ул. Карла Модераха, д. 8| р-н Свердловский;1;39 м²;25;3;3489000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_39m_325et._2137850359;;совмещенный;во двор;лоджия;;1;;монолитный;подземная, открытая во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;2;58.2 м²;10;9;3705067;https://www.avito.ru/perm/kvartiry/2-k._kvartira_582m_910et._2099707179;;раздельный;на улицу;лоджия;;1;;панельный;подземная, открытая во дворе
Пермский край, Пермь, 5-я Каховская ул., 8| р-н Кировский;3;70 м²;9;2;4350000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_70m_29et._955592183;косметический;раздельный;на улицу, во двор;лоджия;1996;1;консьерж, газоснабжение;панельный;за шлагбаумом во дворе
Пермский край, Пермь, Вильвенская ул., 21| р-н Дзержинский;4;81.2 м²;9;9;4350000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_812m_99et._2178148663;;раздельный;во двор;лоджия;1985;1;мусоропровод, газоснабжение;панельный;
Пермский край, Пермь, Хабаровская ул., 155| р-н Дзержинский;2;42 м²;5;5;3000000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_42m_55et._2198284366;;совмещенный;;балкон;;;;кирпичный;
Пермский край, Пермь, ул. Героев Хасана, 28| р-н Свердловский;2;41.8 м²;5;5;2750000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_418m_55et._2209920668;косметический;совмещенный;на улицу, во двор;нет;;;;кирпичный;
Пермский край, Пермь, Стахановская ул., 45Б| р-н Индустриальный;2;72 м²;19;8;6500000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_72m_819et._2223232958;;несколько;на улицу, во двор;лоджия;2008;1;консьерж;кирпичный;подземная, за шлагбаумом во дворе
Пермский край, Пермь, Химградская ул., 21| р-н Кировский;1;33.3 м²;5;1;1690000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_333m_15et._2138342976;косметический;совмещенный;на улицу;нет;1972;0;;панельный;открытая во дворе
Пермский край, Пермь, ул. Попова, 25| р-н Ленинский;1;41.2 м²;17;3;3450000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_412m_317et._2203342090;косметический;раздельный;во двор;лоджия;1987;1;мусоропровод;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Лукоянова, 35| р-н Свердловский;2;44 м²;2;2;1850000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_22et._2236431361;требует ремонта;совмещенный;на улицу, во двор;нет;;;газоснабжение;кирпичный;
Пермский край, Пермь, ул. Свободы, 15| р-н Мотовилихинский;1;34.7 м²;9;1;2250000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_347_m_19_et._2229208955;;;;нет;;;;панельный;
Пермский край, Пермь, ул. Космонавта Леонова, 46| р-н Индустриальный;2;37 м²;5;3;2500000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_37m_35et._2213651097;требует ремонта;раздельный;во двор;балкон;1975;0;;панельный;открытая во дворе
Пермский край, Пермь, ул. Академика Курчатова, 7| р-н Свердловский;3;60.9 м²;5;4;2700000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_609m_45et._2218245657;требует ремонта;раздельный;во двор;балкон;;;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Аркадия Гайдара, 6/1| р-н Мотовилихинский;1;31 м²;5;2;2350000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_25et._2213059711;косметический;совмещенный;во двор;балкон;;;;панельный;
Пермский край, Пермь, ул. Куйбышева, 155| р-н Свердловский;3;71 м²;4;1;3950000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_71m_14et._2213367152;евро;совмещенный;на улицу, во двор;нет;1953;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Серебрянский пр., 19| р-н Свердловский;3;60 м²;9;8;4000000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_60m_89et._2234020118;косметический;раздельный;на улицу, во двор;лоджия;1980;1;мусоропровод;панельный;открытая во дворе
Пермский край, Пермь, ул. Свободы, 13| р-н Мотовилихинский;1;35 м²;9;4;2750000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_49et._2198806517;евро;раздельный;на улицу;балкон;1986;1;мусоропровод, газоснабжение;панельный;наземная многоуровневая, открытая во дворе
Пермский край, Пермь, ул. Фридриха Энгельса, 27| р-н Дзержинский;1;40.6 м²;25;6;4800000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_406m_625et._2224320804;евро;совмещенный;во двор;балкон;2019;2;;монолитный;подземная, наземная многоуровневая, за шлагбаумом во дворе
